service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SCOTIA-2000wSpC-Weekend-01,0,0,0,0,0,1,1,20170218,20170218
SCOTIA-1700wSuP-Weekend-02,0,0,0,0,0,1,1,20170219,20170219
SCOTIA-1900LowR-Weekday-02,1,1,1,1,1,0,0,20170223,20170224
SCOTIA-1100wLow-Weekend-01,0,0,0,0,0,1,1,20170225,20170226
SCOTIA-1030LowR-Weekday-01,1,1,1,1,1,0,0,20170223,20170223
SCOTIA-1500wLow-Weekend-01,0,0,0,0,0,1,1,20170225,20170226
SCOTIA-1900wLow-Weekend-01,0,0,0,0,0,1,1,20170225,20170225
JAN17B-JANDA17-Weekday-17,1,1,1,1,1,0,0,20170216,20170421
JAN17B-JANSA17-Saturday-03,0,0,0,0,0,1,0,20170218,20170422
JAN17B-JANSU17-Sunday-02,0,0,0,0,0,0,1,20170219,20170416
JAN17B-ReducWK-Weekday-01,1,1,1,1,1,0,0,20170220,20170417
SHOPPERS-304Shop-Weekday-01,1,1,1,1,1,0,0,20170216,20170420
SHOPPERS-305Shop-Weekday-01,1,1,1,1,1,0,0,20170217,20170421
SHOPPERS-302Shop-Weekday-01,1,1,1,1,1,0,0,20170221,20170418
SHOPPERS-303Shop-Weekday-01,1,1,1,1,1,0,0,20170222,20170419
SHOPPERS-301Shop-Weekday-01,1,1,1,1,1,0,0,20170227,20170417
