route_id,route_short_name,route_long_name,route_desc,route_type,route_url
1-256,1,,,3,http://www.octranspo.com/images/files/routes/001map.gif
2-256,2,,,3,http://www.octranspo.com/images/files/routes/002map.gif
4-256,4,,,3,http://www.octranspo.com/images/files/routes/004map.gif
5-256,5,,,3,http://www.octranspo.com/images/files/routes/005map.gif
6-256,6,,,3,http://www.octranspo.com/images/files/routes/006map.gif
7-256,7,,,3,http://www.octranspo.com/images/files/routes/007map.gif
8-256,8,,,3,http://www.octranspo.com/images/files/routes/008map.gif
9-256,9,,,3,http://www.octranspo.com/images/files/routes/009map.gif
12-256,12,,,3,http://www.octranspo.com/images/files/routes/012map.gif
14-256,14,,,3,http://www.octranspo.com/images/files/routes/014map.gif
16-256,16,,,3,http://www.octranspo.com/images/files/routes/016map.gif
18-256,18,,,3,http://www.octranspo.com/images/files/routes/018map.gif
19-256,19,,,3,http://www.octranspo.com/images/files/routes/019map.gif
22-256,22,,,3,http://www.octranspo.com/images/files/routes/022map.gif
30-256,30,,,3,http://www.octranspo.com/images/files/routes/030map.gif
33-256,33,,,3,http://www.octranspo.com/images/files/routes/033map.gif
34-256,34,,,3,http://www.octranspo.com/images/files/routes/034map.gif
38-256,38,,,3,http://www.octranspo.com/images/files/routes/038map.gif
41-256,41,,,3,http://www.octranspo.com/images/files/routes/041map.gif
63-256,63,,,3,http://www.octranspo.com/images/files/routes/063map.gif
64-256,64,,,3,http://www.octranspo.com/images/files/routes/064map.gif
85-256,85,,,3,http://www.octranspo.com/images/files/routes/085map.gif
86-256,86,,,3,http://www.octranspo.com/images/files/routes/086map.gif
87-256,87,,,3,http://www.octranspo.com/images/files/routes/087map.gif
91-256,91,,,3,http://www.octranspo.com/images/files/routes/091map.gif
92-256,92,,,3,http://www.octranspo.com/images/files/routes/092map.gif
94-256,94,,,3,http://www.octranspo.com/images/files/routes/094map.gif
95-256,95,,,3,http://www.octranspo.com/images/files/routes/095map.gif
96-256,96,,,3,http://www.octranspo.com/images/files/routes/096map.gif
97-256,97,,,3,http://www.octranspo.com/images/files/routes/097map.gif
98-256,98,,,3,http://www.octranspo.com/images/files/routes/098map.gif
99-256,99,,,3,http://www.octranspo.com/images/files/routes/099map.gif
101-256,101,,,3,http://www.octranspo.com/images/files/routes/101map.gif
103-256,103,,,3,http://www.octranspo.com/images/files/routes/103map.gif
104-256,104,,,3,http://www.octranspo.com/images/files/routes/104map.gif
105-256,105,,,3,http://www.octranspo.com/images/files/routes/105map.gif
106-256,106,,,3,http://www.octranspo.com/images/files/routes/106map.gif
111-256,111,,,3,http://www.octranspo.com/images/files/routes/111map.gif
112-256,112,,,3,http://www.octranspo.com/images/files/routes/112map.gif
114-256,114,,,3,http://www.octranspo.com/images/files/routes/114map.gif
116-256,116,,,3,http://www.octranspo.com/images/files/routes/116map.gif
118-256,118,,,3,http://www.octranspo.com/images/files/routes/118map.gif
121-256,121,,,3,http://www.octranspo.com/images/files/routes/121map.gif
122-256,122,,,3,http://www.octranspo.com/images/files/routes/122map.gif
123-256,123,,,3,http://www.octranspo.com/images/files/routes/123map.gif
124-256,124,,,3,http://www.octranspo.com/images/files/routes/124map.gif
126-256,126,,,3,http://www.octranspo.com/images/files/routes/126map.gif
